#META:{"test_id": 2, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 5, "seeds": [58, 59, 60, 61, 62], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": true, "recurrent_model": "gru", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 10, "max_chapters": 10, "epochs_per_chapter": 1, "gru_start_chapter": 3, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-19T18:47:58.584249"}
trial,seed,method,auc,ap
0,58,solo_prenet,0.716499,0.295026
0,58,solo_deepsad,0.793243,0.415799
0,58,collab_prenet,0.754023,0.358327
0,58,collab_deepsad,0.863816,0.606078
0,58,collab_ensemble,0.791364,0.478226
0,58,gru_judge,0.308586,0.057243
1,59,solo_prenet,0.754366,0.363649
1,59,solo_deepsad,0.820509,0.344184
1,59,collab_prenet,0.786512,0.419958
1,59,collab_deepsad,0.898942,0.614686
1,59,collab_ensemble,0.836333,0.540363
1,59,gru_judge,0.262348,0.047869
2,60,solo_prenet,0.674594,0.198494
2,60,solo_deepsad,0.793046,0.294337
2,60,collab_prenet,0.716008,0.262369
2,60,collab_deepsad,0.871704,0.442151
2,60,collab_ensemble,0.791308,0.367940
2,60,gru_judge,0.310669,0.055606
3,61,solo_prenet,0.736292,0.286818
3,61,solo_deepsad,0.850516,0.410758
3,61,collab_prenet,0.784297,0.334258
3,61,collab_deepsad,0.857450,0.427035
3,61,collab_ensemble,0.869320,0.485761
3,61,gru_judge,0.365001,0.053834
4,62,solo_prenet,0.800387,0.357926
4,62,solo_deepsad,0.783168,0.462383
4,62,collab_prenet,0.798193,0.416768
4,62,collab_deepsad,0.866053,0.517744
4,62,collab_ensemble,0.862996,0.524301
4,62,gru_judge,0.242703,0.045433
