#META:{"test_id": 3, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 10, "seeds": [58, 59, 60, 61, 62, 63, 64, 65, 66, 67], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": true, "recurrent_model": "gru", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 10, "max_chapters": 10, "epochs_per_chapter": 1, "gru_start_chapter": 3, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-19T19:52:17.272549"}
trial,seed,method,auc,ap
0,58,solo_prenet,0.716499,0.295026
0,58,solo_deepsad,0.793243,0.415799
0,58,collab_prenet,0.754023,0.358327
0,58,collab_deepsad,0.863816,0.606078
0,58,collab_ensemble,0.791364,0.478226
0,58,gru_judge,0.823692,0.491138
1,59,solo_prenet,0.754366,0.363649
1,59,solo_deepsad,0.820509,0.344184
1,59,collab_prenet,0.786512,0.419958
1,59,collab_deepsad,0.898942,0.614686
1,59,collab_ensemble,0.836333,0.540363
1,59,gru_judge,0.857892,0.549030
2,60,solo_prenet,0.674594,0.198494
2,60,solo_deepsad,0.793046,0.294337
2,60,collab_prenet,0.716008,0.262369
2,60,collab_deepsad,0.871704,0.442151
2,60,collab_ensemble,0.791308,0.367940
2,60,gru_judge,0.772090,0.395149
3,61,solo_prenet,0.736292,0.286818
3,61,solo_deepsad,0.850516,0.410758
3,61,collab_prenet,0.784297,0.334258
3,61,collab_deepsad,0.857450,0.427035
3,61,collab_ensemble,0.869320,0.485761
3,61,gru_judge,0.848364,0.443005
4,62,solo_prenet,0.800387,0.357926
4,62,solo_deepsad,0.783168,0.462383
4,62,collab_prenet,0.798193,0.416768
4,62,collab_deepsad,0.866053,0.517744
4,62,collab_ensemble,0.862996,0.524301
4,62,gru_judge,0.844045,0.495635
5,63,solo_prenet,0.722893,0.266537
5,63,solo_deepsad,0.841738,0.305506
5,63,collab_prenet,0.773864,0.355275
5,63,collab_deepsad,0.861671,0.429214
5,63,collab_ensemble,0.793264,0.374392
5,63,gru_judge,0.798803,0.426038
6,64,solo_prenet,0.784430,0.337210
6,64,solo_deepsad,0.749613,0.247902
6,64,collab_prenet,0.808113,0.358928
6,64,collab_deepsad,0.836683,0.445817
6,64,collab_ensemble,0.831916,0.452734
6,64,gru_judge,0.847453,0.443183
7,65,solo_prenet,0.753223,0.432254
7,65,solo_deepsad,0.897168,0.686392
7,65,collab_prenet,0.774229,0.443719
7,65,collab_deepsad,0.870225,0.516782
7,65,collab_ensemble,0.825893,0.523093
7,65,gru_judge,0.848974,0.552931
8,66,solo_prenet,0.764245,0.331782
8,66,solo_deepsad,0.891749,0.445644
8,66,collab_prenet,0.814227,0.415075
8,66,collab_deepsad,0.905399,0.524833
8,66,collab_ensemble,0.870007,0.494398
8,66,gru_judge,0.858285,0.496790
9,67,solo_prenet,0.670534,0.290258
9,67,solo_deepsad,0.832182,0.386714
9,67,collab_prenet,0.739341,0.352035
9,67,collab_deepsad,0.877229,0.517354
9,67,collab_ensemble,0.826041,0.521940
9,67,gru_judge,0.843197,0.529746
