#META:{"test_id": 4, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 3, "seeds": [58, 59, 60], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": true, "recurrent_model": "gru", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 20, "max_chapters": 15, "epochs_per_chapter": 3, "gru_start_chapter": 3, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-20T17:39:46.736738"}
trial,seed,method,auc,ap
0,58,solo_prenet,0.818462,0.444465
0,58,solo_deepsad,0.853566,0.568103
0,58,collab_prenet,0.811268,0.442047
0,58,collab_deepsad,0.892814,0.642666
0,58,collab_ensemble,0.835414,0.515783
0,58,gru_judge,0.858516,0.605965
1,59,solo_prenet,0.854653,0.527687
1,59,solo_deepsad,0.932448,0.741746
1,59,collab_prenet,0.835393,0.501220
1,59,collab_deepsad,0.904908,0.637812
1,59,collab_ensemble,0.878084,0.585766
1,59,gru_judge,0.925086,0.659482
2,60,solo_prenet,0.819766,0.447040
2,60,solo_deepsad,0.920284,0.621067
2,60,collab_prenet,0.781520,0.383099
2,60,collab_deepsad,0.882010,0.496195
2,60,collab_ensemble,0.876731,0.530520
2,60,gru_judge,0.856188,0.482444
