#META:{"test_id": 7, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 3, "seeds": [58, 59, 60], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": true, "recurrent_model": "gru", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 20, "max_chapters": 15, "epochs_per_chapter": 3, "gru_start_chapter": 3, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-23T12:16:26.120467"}
method,mean,std,min,q25,median,q75,max,n_trials
solo_prenet_auc,0.830960,0.016762,0.818462,0.819114,0.819766,0.837209,0.854653,3
solo_prenet_ap,0.473064,0.038639,0.444465,0.445752,0.447040,0.487363,0.527687,3
solo_deepsad_auc,0.902099,0.034676,0.853566,0.886925,0.920284,0.926366,0.932448,3
solo_deepsad_ap,0.643639,0.072664,0.568103,0.594585,0.621067,0.681406,0.741746,3
collab_prenet_auc,0.809394,0.022034,0.781520,0.796394,0.811268,0.823331,0.835393,3
collab_prenet_ap,0.442122,0.048223,0.383099,0.412573,0.442047,0.471634,0.501220,3
collab_deepsad_auc,0.893244,0.009353,0.882010,0.887412,0.892814,0.898861,0.904908,3
collab_deepsad_ap,0.592225,0.067932,0.496195,0.567004,0.637812,0.640239,0.642666,3
collab_ensemble_auc,0.863410,0.019803,0.835414,0.856073,0.876731,0.877407,0.878084,3
collab_ensemble_ap,0.544023,0.030124,0.515783,0.523152,0.530520,0.558143,0.585766,3
gru_judge_auc,0.879930,0.031944,0.856188,0.857352,0.858516,0.891801,0.925086,3
gru_judge_ap,0.582630,0.074135,0.482444,0.544205,0.605965,0.632723,0.659482,3
delta_prenet_auc,-0.021566,0.012781,-0.038246,-0.028753,-0.019259,-0.013226,-0.007193,3
delta_prenet_ap,-0.030941,0.025315,-0.063940,-0.045203,-0.026467,-0.014442,-0.002417,3
delta_deepsad_auc,-0.008855,0.034295,-0.038274,-0.032907,-0.027540,0.005854,0.039248,3
delta_deepsad_ap,-0.051414,0.089489,-0.124871,-0.114403,-0.103934,-0.014685,0.074563,3
