#META:{"test_id": 13, "dataset": "annthyroid", "dataset_path": "/home/peppino58/CoBench/SubModules/ADBench/adbench/datasets/Classical/2_annthyroid.npz", "n_trials": 1, "seeds": [58], "models": ["prenet", "deepsad"], "n_models": 2, "has_recurrent": false, "recurrent_model": "none", "colearner": "CoLearnerVal", "strategy": "PlateauStrategy", "warmup_epochs": 2, "max_chapters": 2, "epochs_per_chapter": 3, "gru_start_chapter": null, "train_split": 0.6, "val_test_split": 0.5, "semi_label_ratio": 0.1, "timestamp": "2026-02-26T18:33:18.033769"}
method,mean,std,min,q25,median,q75,max,n_trials
solo_prenet_auc,0.816849,0.000000,0.816849,0.816849,0.816849,0.816849,0.816849,1
solo_prenet_ap,0.451110,0.000000,0.451110,0.451110,0.451110,0.451110,0.451110,1
solo_deepsad_auc,0.901634,0.000000,0.901634,0.901634,0.901634,0.901634,0.901634,1
solo_deepsad_ap,0.675731,0.000000,0.675731,0.675731,0.675731,0.675731,0.675731,1
collab_prenet_auc,0.739054,0.000000,0.739054,0.739054,0.739054,0.739054,0.739054,1
collab_prenet_ap,0.342532,0.000000,0.342532,0.342532,0.342532,0.342532,0.342532,1
collab_deepsad_auc,0.795823,0.000000,0.795823,0.795823,0.795823,0.795823,0.795823,1
collab_deepsad_ap,0.417034,0.000000,0.417034,0.417034,0.417034,0.417034,0.417034,1
collab_ensemble_auc,0.805954,0.000000,0.805954,0.805954,0.805954,0.805954,0.805954,1
collab_ensemble_ap,0.448918,0.000000,0.448918,0.448918,0.448918,0.448918,0.448918,1
delta_prenet_auc,-0.077795,0.000000,-0.077795,-0.077795,-0.077795,-0.077795,-0.077795,1
delta_prenet_ap,-0.108578,0.000000,-0.108578,-0.108578,-0.108578,-0.108578,-0.108578,1
delta_deepsad_auc,-0.105811,0.000000,-0.105811,-0.105811,-0.105811,-0.105811,-0.105811,1
delta_deepsad_ap,-0.258697,0.000000,-0.258697,-0.258697,-0.258697,-0.258697,-0.258697,1
