Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,col,RF,LGB,XGB,CatB
,,,,,,,,,,,,former,,,,
ALOI,55.25(8),59.29(6),53.09(11),51.65(13),51.44(14),57.54(7),75.96(1),49.27(15),53.86(9),52.16(12),47.74(16),53.45(10),71.83(2),65.23(3),64.77(4),62.78(5)
annthyroid,80.96(15),93.06(9),82.78(12),82.39(13),82.11(14),96.95(7),98.78(4),82.95(11),50.73(16),91.29(10),96.08(8),99.05(1),98.58(6),98.70(5),98.83(3),98.97(2)
backdoor,82.96(15),97.07(8),89.49(13),97.49(6),96.45(9),98.00(4),97.20(7),76.77(16),94.51(12),95.98(10),86.10(14),94.98(11),97.92(5),98.40(2),98.39(3),98.92(1)
breastw,93.13(15),97.44(12),98.72(8),99.67(2),99.27(5),93.83(14),99.14(6),99.75(1),94.57(13),99.42(3),80.40(16),98.45(10),98.23(11),99.30(4),98.72(9),99.11(7)
campaign,66.57(15),73.12(14),57.92(16),85.83(7),85.95(6),76.42(11),92.20(1),79.15(9),73.59(13),77.29(10),75.45(12),84.62(8),87.85(5),90.41(3),89.16(4),91.23(2)
cardio,83.68(15),93.98(12),98.65(2),98.02(7),98.26(5),97.11(8),98.46(3),93.74(13),91.48(14),95.21(11),N/A(N/A),98.24(6),98.73(1),95.73(10),96.02(9),98.37(4)
Cardiotocography,56.41(16),92.52(12),94.43(6),94.91(3),94.92(2),90.40(13),93.81(7),93.20(10),87.28(14),94.80(4),82.53(15),94.48(5),93.34(9),93.50(8),92.89(11),95.13(1)
celeba,76.18(15),89.65(11),57.39(16),95.41(1),95.17(3),90.65(9),95.15(4),89.68(10),85.43(12),94.44(6),77.31(14),95.20(2),81.65(13),94.51(5),91.86(8),92.40(7)
census,46.38(16),78.77(12),69.41(14),90.33(3),88.07(6),82.45(10),91.07(1),70.09(13),83.98(9),84.61(8),61.69(15),82.04(11),87.47(7),89.95(4),89.72(5),90.85(2)
cover,42.98(16),99.86(5),99.94(1),99.92(3),99.94(2),99.83(7),99.68(12),99.75(11),98.97(13),99.77(9),96.56(14),99.81(8),99.85(6),90.19(15),99.76(10),99.91(4)
donors,51.09(16),100.00(1),82.84(15),99.99(2),99.94(4),99.98(3),99.93(6),99.42(14),99.57(12),99.89(8),99.43(13),99.92(7),99.58(11),99.88(9),99.82(10),99.93(5)
fault,65.21(16),75.58(8),74.74(10),74.10(11),76.06(7),71.88(12),77.71(3),71.15(13),68.87(14),77.91(2),68.79(15),75.57(9),77.62(4),76.40(5),76.18(6),80.69(1)
fraud,91.06(3),90.21(6),92.38(1),89.91(7),90.47(4),79.07(13),90.36(5),78.35(14),77.80(15),85.91(9),81.48(12),83.22(11),88.20(8),44.72(16),85.24(10),91.20(2)
glass,68.06(16),91.67(12),86.42(14),89.49(13),92.13(11),94.24(10),98.41(5),96.01(8),95.21(9),84.32(15),97.33(7),99.22(3),97.91(6),98.93(4),99.22(2),99.62(1)
Hepatitis,58.17(16),95.32(14),98.57(6),98.11(7),97.06(9),96.81(11),98.75(4),96.54(12),64.77(15),98.79(3),97.63(8),96.16(13),97.03(10),98.64(5),99.22(2),99.48(1)
http,99.80(11),99.99(7),99.98(8),100.00(1),100.00(1),99.96(10),98.33(12),98.33(12),83.31(14),0.30(16),99.99(6),100.00(1),100.00(5),43.69(15),100.00(1),99.97(9)
InternetAds,68.43(14),81.07(9),90.28(2),84.65(7),82.06(8),80.87(10),86.62(6),65.24(15),80.36(11),79.98(12),74.64(13),N/A(N/A),87.18(3),86.81(5),86.87(4),92.63(1)
Ionosphere,92.52(8),93.60(7),97.60(4),86.74(15),86.76(14),91.69(10),98.75(1),89.69(13),89.94(12),90.19(11),76.30(16),92.26(9),94.90(6),98.11(2),97.50(5),97.67(3)
landsat,50.88(16),92.87(3),64.20(15),79.93(12),79.65(13),82.58(11),92.89(2),71.95(14),85.00(10),89.93(8),85.93(9),92.31(5),91.88(6),92.35(4),91.73(7),94.27(1)
letter,69.93(15),78.65(10),82.72(6),79.81(9),81.41(7),73.01(14),90.33(2),61.36(16),73.85(13),75.00(12),86.46(3),77.73(11),85.75(4),85.20(5),80.78(8),90.38(1)
Lymphography,97.21(11),97.27(10),99.80(2),99.37(6),99.72(4),94.91(12),92.01(15),99.85(1),77.53(16),99.34(7),93.39(13),99.58(5),93.18(14),99.14(8),98.61(9),99.79(3)
magic.gamma,50.32(16),88.02(5),81.14(13),82.70(11),82.91(10),84.14(9),89.24(2),78.10(14),65.59(15),89.45(1),81.61(12),86.72(7),88.40(4),87.64(6),84.57(8),88.85(3)
mammography,75.96(15),94.46(1),92.81(5),92.78(6),92.65(7),94.14(3),91.55(9),91.28(10),60.48(16),92.42(8),85.48(13),94.35(2),86.77(11),76.75(14),86.33(12),93.57(4)
mnist,68.76(16),96.65(12),98.89(4),98.77(5),98.93(3),97.42(10),99.12(2),79.55(15),95.00(13),97.13(11),83.36(14),97.86(9),98.48(7),98.66(6),98.46(8),99.20(1)
musk,98.46(13),100.00(10),100.00(1),100.00(1),100.00(1),100.00(1),100.00(1),94.83(14),79.66(16),100.00(1),93.32(15),100.00(1),98.85(12),99.98(11),100.00(1),100.00(1)
optdigits,46.49(16),99.87(8),99.99(2),99.99(3),99.99(1),99.97(4),99.77(9),97.64(13),96.62(14),99.94(5),90.00(15),99.93(6),99.72(10),99.62(12),99.72(11),99.89(7)
PageBlocks,64.80(16),96.18(5),94.42(10),88.59(14),90.15(13),95.31(7),97.65(3),91.16(12),85.81(15),93.45(11),94.69(9),96.09(6),95.05(8),97.60(4),97.77(2),98.36(1)
pendigits,60.12(16),99.93(1),99.52(10),99.82(5),99.82(4),99.21(12),99.77(7),99.66(8),98.49(15),99.58(9),98.72(14),99.86(3),99.46(11),98.99(13),99.82(6),99.91(2)
Pima,61.46(16),73.27(12),71.75(13),81.52(4),81.06(5),76.66(11),82.55(3),80.49(8),63.21(15),77.00(10),68.15(14),77.36(9),80.87(6),83.38(1),80.78(7),82.56(2)
satellite,74.94(16),93.57(5),79.92(14),84.67(11),84.17(12),85.89(9),93.91(2),78.73(15),80.17(13),90.88(8),85.44(10),93.81(3),93.64(4),93.09(6),92.74(7),94.37(1)
satimage-2,96.63(13),99.38(5),99.53(2),99.60(1),99.51(3),97.81(10),99.42(4),98.23(7),88.83(16),97.75(11),94.44(14),98.05(8),96.75(12),90.12(15),98.00(9),98.90(6)
shuttle,79.04(16),98.85(6),98.94(5),97.57(12),97.63(11),98.68(7),99.90(1),97.26(14),88.54(15),97.57(13),97.66(10),98.35(8),98.15(9),99.77(2),99.54(3),99.54(4)
skin,52.75(16),99.88(2),89.70(15),95.99(12),95.37(13),98.92(10),99.84(4),93.96(14),99.66(8),99.70(6),99.77(5),99.84(3),98.04(11),99.66(9),99.69(7),99.91(1)
smtp,51.69(14),82.74(3),76.47(8),75.99(9),75.24(11),75.41(10),79.87(5),50.00(15),62.98(12),86.40(1),52.83(13),79.07(6),83.32(2),43.01(16),81.12(4),78.85(7)
SpamBase,55.09(16),90.66(10),89.77(11),91.69(9),93.51(7),89.51(12),96.80(2),82.32(14),79.28(15),95.30(3),84.45(13),93.80(6),92.01(8),95.26(4),93.97(5),96.85(1)
speech,47.58(16),56.35(14),63.59(8),71.53(2),72.80(1),63.36(9),67.92(5),63.13(10),69.73(4),56.81(12),56.77(13),70.47(3),52.11(15),64.18(7),64.45(6),61.82(11)
Stamps,72.82(16),90.68(13),98.27(8),98.26(9),98.74(3),98.35(6),98.21(10),89.03(14),93.55(12),98.28(7),87.39(15),98.59(5),94.96(11),98.92(2),98.68(4),99.00(1)
thyroid,92.88(16),98.52(11),99.48(6),99.82(1),99.75(3),98.59(10),99.53(5),99.58(4),94.05(15),99.19(7),96.49(14),99.15(8),97.34(13),98.39(12),99.13(9),99.76(2)
