Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,16,6,11,13,14,10,3,15,7,9,8.0,12.0,1,4,5,2
annthyroid,16,9,15,12,14,11,5,13,10,8,7.0,6.0,3,1,2,4
backdoor,14,11,15,7,8,5,13,16,6,10,9.0,12.0,1,4,3,2
breastw,16,13,12,2,4,8,11,1,14,3,15.0,10.0,9,6,7,5
campaign,15,13,16,8,6,14,1,12,11,9,10.0,7.0,3,4,5,2
cardio,15,12,2,7,6,11,1,14,13,10,,5.0,3,9,8,4
Cardiotocography,16,11,2,10,8,13,6,14,9,4,15.0,12.0,3,5,7,1
celeba,15,8,16,1,2,10,7,14,11,6,13.0,9.0,12,3,5,4
census,16,10,15,7,6,12,1,14,8,9,13.0,11.0,4,3,5,2
cover,16,1,3,2,4,6,12,10,14,9,13.0,7.0,5,15,11,8
donors,16,1,15,2,12,9,8,14,13,2,7.0,2.0,11,6,10,5
fault,16,8,13,14,7,12,3,15,10,5,11.0,9.0,2,4,6,1
fraud,12,10,11,3,2,5,4,15,14,9,13.0,7.0,6,16,8,1
glass,16,10,12,15,13,5,6,11,9,14,2.0,3.0,4,8,7,1
Hepatitis,16,11,10,12,13,8,9,14,15,1,1.0,1.0,1,1,1,1
http,13,1,11,1,1,12,8,8,14,16,1.0,1.0,7,15,1,10
InternetAds,14,9,2,3,4,11,6,15,7,12,13.0,,10,8,5,1
Ionosphere,15,8,6,13,12,11,1,16,10,7,14.0,9.0,5,2,3,4
landsat,16,5,14,12,13,11,3,15,9,8,10.0,7.0,2,4,6,1
letter,15,11,5,14,12,13,6,16,9,10,3.0,2.0,7,4,8,1
Lymphography,16,12,1,1,11,1,1,13,15,1,14.0,1.0,1,1,1,1
magic.gamma,16,5,10,14,13,12,4,15,9,2,11.0,8.0,3,6,7,1
mammography,16,5,10,9,11,6,7,14,15,12,3.0,2.0,4,13,8,1
mnist,16,5,3,11,9,14,4,15,12,8,13.0,10.0,2,6,7,1
musk,16,4,4,4,4,4,1,14,15,4,13.0,4.0,1,4,1,4
optdigits,16,6,2,1,3,4,9,15,13,5,14.0,7.0,8,11,12,10
PageBlocks,16,8,12,14,13,11,6,15,9,10,5.0,7.0,2,3,4,1
pendigits,16,2,8,15,12,10,5,13,11,9,14.0,4.0,3,6,7,1
Pima,16,14,15,11,10,12,4,9,13,6,7.0,8.0,1,2,5,3
satellite,16,6,13,10,12,15,3,14,8,9,11.0,7.0,1,4,5,2
satimage-2,16,1,3,6,9,4,11,8,13,14,15.0,2.0,7,10,12,5
shuttle,16,6,8,12,11,10,1,15,13,14,7.0,9.0,5,3,4,2
skin,16,6,15,13,14,11,1,12,10,7,3.0,8.0,9,5,4,2
smtp,13,5,8,3,4,14,7,15,10,9,11.0,12.0,1,16,6,2
SpamBase,16,10,13,14,11,8,2,15,12,4,9.0,7.0,6,3,5,1
speech,16,15,2,6,5,9,11,7,1,4,3.0,8.0,12,10,13,14
Stamps,16,15,10,14,12,11,3,9,13,8,7.0,4.0,6,2,5,1
thyroid,16,13,8,6,7,9,1,12,15,11,14.0,10.0,4,5,3,2
vertebral,16,10,12,14,13,9,4,11,8,15,6.0,7.0,5,1,3,2
vowels,16,15,5,3,1,9,12,13,6,14,8.0,2.0,10,7,11,4
Waveform,16,10,12,14,13,11,4,15,1,3,8.0,7.0,9,6,5,2
WBC,16,13,8,7,9,15,1,10,14,12,11.0,4.0,3,6,5,2
WDBC,16,13,1,1,1,1,12,1,15,1,14.0,1.0,9,10,11,1
Wilt,16,7,15,14,12,10,3,11,6,13,4.0,9.0,2,8,5,1
wine,16,14,1,1,1,1,1,1,15,1,1.0,1.0,1,1,1,1
WPBC,16,8,14,13,12,10,3,15,11,9,5.0,7.0,6,4,2,1
yeast,16,12,15,11,10,8,4,13,14,9,7.0,2.0,3,6,5,1
CIFAR10,15,11,1,2,5,9,4,16,8,10,12.0,13.0,14,7,6,3
FashionMNIST,16,8,3,2,5,10,7,15,9,11,12.0,14.0,13,4,6,1
MNIST-C,16,9,14,1,2,10,7,15,6,8,13.0,12.0,11,5,4,3
MVTec-AD,14,6,15,8,12,9,4,16,13,10,11.0,7.0,5,3,2,1
SVHN,15,12,3,2,1,9,8,16,7,10,11.0,13.0,14,4,6,5
Agnews,16,5,2,9,6,4,12,15,3,1,8.0,13.0,14,11,10,7
Amazon,15,7,2,3,4,8,10,16,5,1,12.0,13.0,14,11,6,9
Imdb,16,2,10,6,7,11,5,15,12,1,3.0,13.0,14,9,8,4
Yelp,15,6,2,5,3,12,8,16,4,1,11.0,13.0,14,10,9,7
20news,15,8,14,3,2,5,10,16,4,1,7.0,11.0,13,12,6,9
