Datasets,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,col,col_1,LODA,IForest
,,,,,,,,,,,SVDD,GMM,,
ALOI,56.65(6),55.85(8),66.63(1),55.22(9),64.68(2),52.63(11),61.47(3),61.09(4),53.75(10),56.60(7),50.29(14),51.96(12),51.33(13),56.66(5)
annthyroid,66.25(8),57.23(12),70.20(7),62.26(10),65.92(9),60.15(11),71.69(6),77.38(3),76.80(4),78.03(2),76.62(5),56.53(13),41.02(14),82.01(1)
backdoor,80.13(7),86.20(2),85.68(3),81.16(4),73.03(8),71.43(10),80.82(6),69.54(11),80.97(5),86.33(1),55.16(14),56.26(13),69.22(12),72.15(9)
breastw,95.13(8),80.30(10),40.61(12),96.81(7),38.84(13),98.94(3),97.01(6),93.97(9),99.68(1),99.17(2),65.66(11),N/A(N/A),98.49(4),98.32(5)
campaign,72.78(4),65.52(9),58.85(10),66.61(8),57.26(11),78.61(1),72.10(5),69.04(7),77.69(2),76.78(3),48.70(14),56.08(12),51.43(13),71.71(6)
cardio,95.55(1),93.91(3),66.33(13),89.93(7),71.41(12),84.67(8),76.64(9),73.25(11),92.35(5),94.44(2),58.96(14),75.01(10),90.34(6),93.19(4)
Cardiotocography,74.67(2),77.86(1),59.51(10),64.54(7),53.77(12),60.86(9),56.23(11),51.69(14),67.02(6),68.92(4),53.53(13),62.01(8),73.65(3),67.57(5)
celeba,79.38(1),70.70(6),38.55(14),73.99(4),38.58(13),76.18(2),59.63(9),47.85(11),75.68(3),72.82(5),50.36(10),44.74(12),60.11(8),70.41(7)
census,68.74(2),54.58(10),47.19(12),59.41(8),41.35(13),64.94(5),66.75(4),62.31(6),69.07(1),68.44(3),51.07(11),59.29(9),36.86(14),59.52(7)
cover,93.73(1),92.62(3),84.58(10),89.30(6),76.91(12),80.24(11),85.97(9),74.46(13),88.64(7),93.42(2),46.20(14),89.89(5),92.34(4),86.74(8)
donors,83.15(1),71.93(7),55.49(11),60.44(10),70.54(9),78.23(4),81.09(3),55.21(12),81.76(2),74.45(6),50.27(13),70.57(8),24.86(14),77.68(5)
fault,46.02(10),47.69(9),58.93(5),64.06(3),62.10(4),51.28(8),72.98(1),68.11(2),43.88(12),43.41(13),51.67(7),45.86(11),41.71(14),57.02(6)
fraud,90.35(8),90.62(6),94.92(2),91.70(5),93.05(4),90.29(9),93.56(3),94.97(1),88.32(13),89.85(10),64.98(14),89.53(11),88.99(12),90.38(7)
glass,66.29(12),35.36(14),69.20(11),82.94(1),72.24(10),77.23(3),82.29(2),73.36(7),72.43(9),75.70(6),47.49(13),76.09(5),73.13(8),77.13(4)
Hepatitis,75.95(4),67.75(7),38.02(14),66.40(8),41.45(13),79.85(2),52.76(11),68.17(6),82.05(1),79.67(3),50.96(12),54.80(10),64.87(9),69.75(5)
http,99.72(2),99.59(4),27.46(11),99.60(3),88.78(8),99.53(5),3.37(13),78.04(9),99.29(6),98.10(7),69.05(10),N/A(N/A),12.48(12),99.96(1)
InternetAds,61.67(11),68.28(4),65.83(8),70.58(1),63.79(9),68.03(5),69.99(2),61.85(10),67.05(7),67.10(6),60.20(12),N/A(N/A),55.38(13),69.01(3)
