Datasets,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,SVDD,GMM,LODA,IForest
ALOI,4.17,5.02,8.08,4.46,6.85,3.69,6.02,5.97,3.62,3.9,4.01,4.33,4.53,3.9
annthyroid,16.12,10.37,15.71,13.69,14.39,16.99,16.74,18.84,16.58,24.65,21.95,9.64,7.06,30.47
backdoor,31.29,9.69,26.14,6.96,24.68,4.91,45.22,39.41,7.69,11.25,12.85,6.5,14.51,4.75
breastw,95.11,82.7,28.55,91.54,27.6,97.71,92.19,84.88,99.4,98.54,50.92,,97.04,96.04
campaign,27.9,29.22,14.51,23.99,13.01,37.99,27.18,18.88,38.58,37.4,11.6,14.62,13.47,32.26
cardio,66.06,62.89,23.79,61.95,28.67,52.1,40.72,28.54,60.42,68.59,22.5,28.92,53.41,59.95
Cardiotocography,47.95,52.61,30.66,45.44,28.21,38.28,34.79,27.99,40.46,43.57,34.03,30.61,48.0,41.47
celeba,15.89,10.73,1.71,11.33,1.77,13.82,3.14,2.66,13.69,12.37,2.34,1.95,4.04,8.96
census,10.02,6.76,5.45,7.44,4.88,8.69,9.0,8.52,9.92,9.72,6.87,8.71,5.01,7.78
cover,9.8,11.41,8.12,5.83,4.0,6.83,6.16,3.88,11.37,15.63,8.12,27.59,13.06,8.85
donors,17.9,9.86,7.88,6.89,8.8,23.36,14.75,9.69,21.58,14.17,6.38,10.53,3.78,12.74
fault,32.76,38.44,38.38,43.98,41.56,36.47,54.45,48.01,30.54,30.82,39.15,33.48,31.03,41.09
fraud,22.91,47.58,47.4,47.52,22.86,25.89,47.3,31.37,42.82,42.99,8.97,21.32,46.37,21.67
glass,10.05,8.02,20.11,13.84,11.81,11.82,20.26,18.73,9.78,18.43,8.72,24.58,13.37,10.99
Hepatitis,36.65,29.44,13.69,31.54,14.39,37.73,21.95,24.89,41.5,37.82,22.17,22.96,30.9,26.25
http,56.43,46.86,3.82,47.53,9.57,44.79,0.7,8.32,35.19,16.61,29.3,,0.67,90.83
InternetAds,32.55,54.68,40.49,58.13,38.67,53.97,43.23,27.69,50.97,51.07,27.91,,23.89,48.6
Ionosphere,73.92,74.54,88.06,90.27,82.91,41.78,90.41,85.87,69.89,65.99,41.79,64.98,73.04,80.41
landsat,16.18,16.21,24.69,30.97,24.95,22.03,24.65,26.38,17.48,25.17,38.83,24.48,18.86,19.81
letter,6.86,6.1,34.02,14.8,21.43,8.38,30.0,28.63,6.77,6.94,9.29,11.68,6.87,8.49
Lymphography,97.02,93.59,23.08,97.62,36.68,91.83,38.69,22.65,88.68,90.87,4.58,19.52,44.54,97.31
magic.gamma,59.27,51.43,54.76,68.85,54.12,62.41,75.63,67.89,59.18,54.38,49.17,46.92,58.49,64.72
mammography,19.25,12.94,9.8,11.14,11.14,21.31,15.91,13.41,40.67,41.28,6.26,,14.75,20.67
mnist,39.93,33.2,20.9,28.82,25.51,12.51,35.53,19.15,21.35,31.93,19.72,23.75,25.86,27.71
musk,99.89,10.61,2.82,100.0,2.61,100.0,9.65,7.59,34.79,34.95,5.39,32.75,47.6,99.61
optdigits,2.76,2.92,6.06,10.08,4.42,10.03,3.06,4.39,4.36,3.43,2.5,5.59,3.95,5.09
PageBlocks,51.71,49.14,39.64,49.65,41.02,33.32,45.39,37.83,37.65,49.3,31.45,53.25,51.29,46.04
pendigits,23.65,23.52,3.78,17.27,2.89,29.27,6.5,4.46,21.22,23.07,2.45,4.67,18.71,26.05
Pima,54.03,50.0,47.18,53.19,44.7,56.61,55.14,48.24,55.19,37.3,35.87,41.55,44.09,55.82
satellite,59.64,57.61,37.68,61.48,39.7,67.25,50.01,47.23,56.58,65.94,40.11,58.33,61.94,65.92
satimage-2,85.69,82.71,4.29,97.09,8.8,78.04,39.14,26.11,76.55,63.25,3.08,22.07,80.52,93.45
shuttle,92.35,85.29,13.76,60.98,12.17,96.4,20.38,20.27,96.56,95.76,15.86,93.2,48.75,97.62
skin,17.4,19.03,18.25,29.82,16.38,23.7,28.72,24.61,17.99,15.96,18.48,,18.44,26.08
smtp,66.7,18.9,20.69,26.68,61.13,35.2,66.7,33.36,1.08,50.01,50.02,50.03,35.77,1.24
SpamBase,41.57,40.12,35.16,41.18,34.73,50.03,41.42,40.03,56.68,53.95,42.23,,35.88,51.75
speech,1.97,1.96,2.52,1.99,2.25,2.09,2.02,2.13,1.94,1.77,5.12,2.03,1.79,2.31
Stamps,41.09,31.39,21.29,23.66,16.5,35.24,23.53,20.28,43.1,38.17,11.4,43.72,34.6,39.49
thyroid,44.34,21.23,20.81,29.95,28.5,50.98,34.98,23.56,19.64,54.05,2.5,16.06,14.68,63.11
vertebral,10.49,10.94,14.24,11.58,13.85,9.23,10.57,11.79,8.89,11.24,10.49,15.24,9.68,10.46
vowels,8.92,8.24,34.42,22.12,55.96,13.41,63.41,38.88,4.14,3.92,4.99,12.22,13.82,15.12
Waveform,5.79,4.37,11.33,18.98,14.11,5.86,13.04,9.66,6.9,6.86,4.83,3.11,4.71,6.24
WBC,82.29,89.87,5.57,92.27,9.73,73.56,66.55,54.0,86.19,86.19,6.38,,78.67,90.49
WDBC,75.46,71.88,14.93,79.62,50.52,88.98,43.72,35.6,84.78,57.91,6.57,18.48,66.11,78.53
Wilt,3.13,3.62,5.05,3.64,4.98,3.84,4.73,5.53,3.69,4.14,4.67,4.0,3.36,4.23
wine,30.87,21.56,7.77,5.83,8.45,43.08,8.43,7.95,45.71,18.37,21.14,17.51,48.82,25.96
WPBC,23.01,22.93,20.29,21.32,21.3,23.04,21.49,25.37,22.81,21.38,26.24,22.49,25.58,22.42
yeast,29.9,29.84,31.64,30.93,31.27,32.75,29.33,29.96,30.71,31.36,33.03,29.92,33.29,29.8
CIFAR10,10.59,10.19,13.02,10.61,11.61,8.38,11.13,11.06,8.77,9.29,8.05,7.73,9.72,8.97
FashionMNIST,31.42,31.97,16.85,38.9,20.73,29.43,33.87,28.72,30.32,32.53,17.43,14.44,27.32,32.35
MNIST-C,16.88,17.72,13.84,27.62,14.53,15.46,22.98,15.68,15.9,18.24,8.34,11.37,18.63,17.99
MVTec-AD,54.06,51.44,54.9,58.52,46.59,55.22,55.55,51.48,54.64,55.44,36.5,45.66,49.73,56.04
SVHN,8.66,8.65,9.24,8.58,8.97,7.45,9.46,8.52,7.61,7.82,6.99,7.29,8.7,8.1
Agnews,5.74,5.69,14.35,7.02,12.21,5.58,8.61,8.4,5.43,5.43,4.45,5.41,5.93,6.04
Amazon,5.85,5.64,5.72,6.07,5.74,5.98,6.23,6.4,6.08,6.06,3.84,5.65,5.92,5.95
Imdb,4.55,4.44,4.83,4.75,5.16,4.74,4.49,4.7,4.9,4.9,5.06,4.65,4.59,4.74
Yelp,7.62,7.75,8.52,7.68,8.68,7.81,9.85,9.2,8.01,7.98,6.39,6.72,7.65,7.88
20news,7.97,7.53,9.13,7.81,9.02,7.8,8.54,8.19,7.95,7.92,7.82,6.68,7.37,7.29
