Datasets,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,SVDD,GMM,LODA,IForest
ALOI,9,5,1,7,2,13,3,4,14,11,10,8.0,6,12
annthyroid,8,12,9,11,10,5,6,4,7,2,3,13.0,14,1
backdoor,3,9,4,11,5,13,1,2,10,8,7,12.0,6,14
breastw,6,10,12,8,13,3,7,9,1,2,11,,4,5
campaign,6,5,11,8,13,2,7,9,1,3,14,10.0,12,4
cardio,2,3,13,4,11,8,9,12,5,1,14,10.0,7,6
Cardiotocography,3,1,11,4,13,8,9,14,7,5,10,12.0,2,6
celeba,1,6,14,5,13,2,9,10,3,4,11,12.0,8,7
census,1,11,12,9,14,6,4,7,2,3,10,5.0,13,8
cover,6,4,8,12,13,10,11,14,5,2,9,1.0,3,7
donors,3,8,11,12,10,1,4,9,2,5,13,7.0,14,6
fault,11,7,8,3,4,9,1,2,14,13,6,10.0,12,5
fraud,10,1,3,2,11,9,4,8,7,6,14,13.0,5,12
glass,11,14,3,6,9,8,2,4,12,5,13,1.0,7,10
Hepatitis,4,7,14,5,13,3,12,9,1,2,11,10.0,6,8
http,2,4,11,3,9,5,12,10,6,8,7,,13,1
InternetAds,10,2,8,1,9,3,7,12,5,4,11,,13,6
Ionosphere,8,7,3,2,5,14,1,4,10,11,13,12.0,9,6
landsat,14,13,6,2,5,9,7,3,12,4,1,8.0,11,10
letter,12,14,1,5,4,9,2,3,13,10,7,6.0,11,8
Lymphography,3,4,11,1,10,5,9,12,7,6,14,13.0,8,2
magic.gamma,6,12,9,2,11,5,1,3,7,10,13,14.0,8,4
mammography,5,9,12,10,11,3,6,8,2,1,13,,7,4
mnist,1,3,11,5,8,14,2,13,10,4,12,9.0,7,6
musk,3,9,13,2,14,1,10,11,7,6,12,8.0,5,4
optdigits,13,12,3,1,6,2,11,7,8,10,14,4.0,9,5
PageBlocks,2,6,10,4,9,13,8,11,12,5,14,1.0,3,7
pendigits,3,4,12,8,13,1,9,11,6,5,14,10.0,7,2
Pima,5,7,9,6,10,1,4,8,3,13,14,12.0,11,2
satellite,6,8,14,5,13,1,10,11,9,2,12,7.0,4,3
satimage-2,3,4,13,1,12,6,9,10,7,8,14,11.0,5,2
shuttle,6,7,13,8,14,3,10,11,2,4,12,5.0,9,1
skin,11,6,9,1,12,5,2,4,10,13,7,,8,3
smtp,2,12,11,10,3,8,1,9,14,6,5,4.0,7,13
SpamBase,6,9,12,8,13,4,7,10,1,2,5,,11,3
speech,10,11,2,9,4,6,8,5,12,14,1,7.0,13,3
Stamps,3,8,11,9,13,6,10,12,2,5,14,1.0,7,4
thyroid,4,9,10,6,7,3,5,8,11,2,14,12.0,13,1
vertebral,10,7,2,5,3,13,8,4,14,6,9,1.0,12,11
vowels,10,11,4,5,2,8,1,3,13,14,12,9.0,7,6
Waveform,10,13,4,1,2,9,3,5,6,7,11,14.0,12,8
WBC,6,3,13,1,11,8,9,10,4,4,12,,7,2
WDBC,5,6,13,3,9,1,10,11,2,8,14,12.0,7,4
Wilt,14,12,2,11,3,9,4,1,10,7,5,8.0,13,6
wine,4,6,13,14,10,3,11,12,2,8,7,9.0,1,5
WPBC,5,6,14,12,13,4,10,3,7,11,1,8.0,2,9
yeast,11,12,4,7,6,3,14,9,8,5,2,10.0,1,13
CIFAR10,6,7,1,5,2,12,3,4,11,9,13,14.0,8,10
FashionMNIST,6,5,13,1,11,8,2,9,7,3,12,14.0,10,4
MNIST-C,7,6,12,1,11,10,2,9,8,4,14,13.0,3,5
MVTec-AD,8,10,6,1,12,5,3,9,7,4,14,13.0,11,2
SVHN,5,6,2,7,3,12,1,8,11,10,14,13.0,4,9
Agnews,8,9,1,5,2,10,3,4,12,11,14,13.0,7,6
Amazon,9,13,11,4,10,6,2,1,3,5,14,12.0,8,7
Imdb,12,14,5,6,1,8,13,9,3,4,2,10.0,11,7
Yelp,12,9,4,10,3,8,1,2,5,6,14,13.0,11,7
20news,5,11,1,9,2,10,3,4,6,7,8,14.0,12,13
