Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
ALOI,3.83,6.1,4.51,3.76,3.86,4.56,6.68,3.29,4.99,4.08,4.33,3.95,4.25,4.12,4.08,4.53
annthyroid,34.35,29.25,27.38,31.79,33.92,32.05,65.84,43.64,13.79,12.99,15.88,29.12,22.34,21.96,54.84,61.79
backdoor,6.95,38.49,28.84,87.83,86.2,68.5,25.79,28.06,51.54,71.48,34.99,33.83,16.55,10.42,42.0,19.24
breastw,85.14,79.62,81.19,77.74,72.83,80.86,83.82,54.37,76.04,56.04,51.7,90.82,54.04,85.12,81.93,93.23
campaign,23.13,19.87,15.09,23.18,23.62,20.35,32.98,11.83,13.13,19.21,13.51,18.71,16.55,25.7,28.63,36.63
cardio,38.52,30.03,54.24,66.86,63.47,52.19,50.41,20.48,41.6,14.11,,48.6,29.3,42.16,36.18,70.42
Cardiotocography,33.18,40.99,58.09,61.74,58.84,52.6,46.13,53.3,37.51,21.5,46.12,59.03,34.71,52.95,55.45,65.09
celeba,11.72,3.79,2.94,15.19,14.62,14.47,11.64,2.64,7.71,7.51,7.81,6.87,5.46,3.1,14.31,12.62
census,7.47,9.57,9.88,19.7,18.33,19.76,27.07,6.71,13.22,19.66,8.87,19.01,12.47,21.98,30.88,30.59
cover,0.89,24.22,58.34,68.57,65.28,51.36,58.61,1.02,18.12,35.14,15.24,81.57,15.73,1.04,62.0,38.3
donors,9.68,79.14,17.03,90.73,98.08,94.62,60.93,84.66,3.07,20.07,36.26,85.13,23.75,38.36,68.71,72.67
fault,48.92,49.92,49.84,48.46,48.91,44.25,43.21,45.17,29.76,35.17,36.23,44.88,38.52,43.06,42.53,47.3
fraud,42.43,28.0,42.35,52.8,55.13,54.48,38.57,0.14,21.23,41.61,31.53,48.9,48.38,0.14,36.75,39.79
glass,13.34,15.19,23.2,18.25,31.2,49.47,36.7,15.35,44.54,21.84,29.46,29.18,32.33,32.0,35.87,35.84
Hepatitis,21.59,28.5,43.55,43.85,44.05,35.85,52.7,21.43,16.0,34.4,42.58,45.4,26.75,50.91,54.55,49.15
http,73.48,74.48,93.99,100.0,100.0,97.78,80.39,63.5,61.84,0.37,100.0,99.7,66.27,0.38,100.0,77.95
InternetAds,46.05,42.68,41.92,33.91,34.32,39.1,36.29,18.82,34.55,17.3,30.48,,25.24,30.27,47.94,55.26
Ionosphere,89.55,69.44,64.46,50.93,53.97,49.57,65.38,46.42,63.89,68.45,57.52,57.75,48.79,65.26,66.24,82.86
landsat,18.28,45.05,28.74,37.63,37.4,39.89,50.99,39.34,32.44,45.06,31.81,37.61,30.74,40.65,44.72,53.27
letter,15.94,18.33,13.33,14.25,14.87,14.36,18.55,6.25,12.38,7.45,28.06,8.07,7.87,13.46,11.8,11.44
Lymphography,65.66,43.96,62.57,60.68,57.53,63.5,83.69,36.34,4.11,49.48,61.85,80.75,45.6,80.81,79.46,94.13
magic.gamma,39.96,64.64,66.45,71.97,72.46,62.42,63.84,70.82,42.53,48.51,41.69,64.51,44.79,58.22,56.69,57.72
mammography,15.75,32.24,40.2,40.49,36.69,53.56,23.52,29.9,18.01,1.37,22.86,42.24,12.3,2.44,28.94,37.72
mnist,17.88,32.84,48.06,56.31,55.93,50.16,51.69,22.77,28.89,52.97,32.16,39.59,25.39,24.23,41.73,56.31
musk,89.49,46.21,39.11,78.41,94.05,78.76,55.84,3.16,20.9,55.74,89.07,74.64,29.36,48.96,54.93,88.03
optdigits,2.83,27.71,96.95,99.02,98.73,98.69,48.64,4.31,35.64,38.83,29.25,93.1,33.03,3.15,57.85,57.02
PageBlocks,41.22,51.76,57.34,40.91,45.31,33.4,47.12,34.27,26.74,20.62,20.93,39.79,17.0,34.3,49.13,67.14
pendigits,2.8,27.59,46.66,53.88,57.07,41.55,34.75,13.37,24.2,9.47,27.38,48.91,19.12,2.25,30.29,23.01
Pima,43.77,44.26,50.96,45.76,44.44,42.87,50.02,44.93,37.15,23.61,41.13,47.15,38.8,47.18,47.4,53.5
